file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\jdbc\DataSourceAutoConfigurationTests.java,org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfigurationTests$TestDataSourceConfiguration,innerclass,3,3,0,3,1,1,0,3,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,3,0,1,0,1,0,0,0,0,11,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docker-compose\src\test\java\org\springframework\boot\docker\compose\service\connection\activemq\ArtemisEnvironmentTests.java,org.springframework.boot.docker.compose.service.connection.activemq.ArtemisEnvironmentTests,class,2,2,0,2,4,1,0,7,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,6,0,4,0,4,0,0,0,0,14,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docs\src\main\java\org\springframework\boot\docs\data\sql\h2webconsole\springsecurity\DevProfileSecurityConfiguration.java,org.springframework.boot.docs.data.sql.h2webconsole.springsecurity.DevProfileSecurityConfiguration,class,9,10,1,9,2,1,0,8,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,2,1,0,0,2,20,1,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\pulsar\PulsarReactiveAutoConfigurationTests.java,org.springframework.boot.autoconfigure.pulsar.PulsarReactiveAutoConfigurationTests$ConsumerFactoryTests,innerclass,11,11,0,11,3,1,0,14,0,0,1,1,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,32,0,0,0,0,0,11,0,6,0,9,1,0,1,5,37,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\hazelcast\HazelcastServerConfiguration.java,org.springframework.boot.autoconfigure.hazelcast.HazelcastServerConfiguration$SpringManagedContextHazelcastConfigCustomizerConfiguration,innerclass,7,7,0,7,1,1,0,2,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,1,0,2,1,0,0,1,16,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\security\oauth2\server\servlet\OAuth2AuthorizationServerJwtAutoConfigurationTests.java,org.springframework.boot.autoconfigure.security.oauth2.server.servlet.OAuth2AuthorizationServerJwtAutoConfigurationTests,class,10,10,0,10,5,1,0,11,0,0,1,1,5,0,0,0,0,5,5,0,0,0,1,0,0,1,0,0,1,0,0,46,0,0,0,0,0,13,0,1,0,6,1,0,2,5,37,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-docker-compose\src\main\java\org\springframework\boot\docker\compose\service\connection\cassandra\CassandraDockerComposeConnectionDetailsFactory.java,org.springframework.boot.docker.compose.service.connection.cassandra.CassandraDockerComposeConnectionDetailsFactory,class,5,5,0,5,2,3,0,1,1,0.75,0,0,2,0,0,0,1,1,2,0,0,0,2,2,0,2,0,0,2,0,0,26,1,0,0,0,0,2,1,2,0,2,0,0,1,0,27,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\data\jdbc\JdbcRepositoriesAutoConfigurationTests.java,org.springframework.boot.autoconfigure.data.jdbc.JdbcRepositoriesAutoConfigurationTests$RelationalManagedTypesConfiguration,innerclass,3,3,0,3,1,1,0,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\test\java\org\springframework\boot\actuate\endpoint\invoke\reflect\OperationMethodParametersTests.java,org.springframework.boot.actuate.endpoint.invoke.reflect.OperationMethodParametersTests,class,6,7,1,6,11,1,0,24,25,0.6818182,0.33333334,0.33333334,11,0,0,1,0,10,10,0,0,0,2,0,0,2,0,0,2,0,2,47,2,0,0,0,0,7,2,10,0,10,0,0,0,3,46,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\couchbase\CouchbasePropertiesTests.java,org.springframework.boot.autoconfigure.couchbase.CouchbasePropertiesTests,class,4,4,0,4,2,1,0,18,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,2,0,0,0,0,14,0,0
